school_id,school_name
220,마산대학교
221,명지전문대학
222,목포과학대학교
223,문경대학교
224,배화여자대학교
225,경남도립거창대학
226,경남도립남해대학
227,경남정보대학교
228,경민대학교
229,경복대학교
230,경북과학대학교
231,경북도립대학교
232,경북보건대학교
233,경북전문대학교
234,경인여자대학교
235,계명문화대학교
236,계원예술대학교
237,광양보건대학교
238,광주보건대학교
239,구미대학교
240,구세군사관학교
241,국제대학교
242,군산간호대학교
243,군장대학교
244,기독간호대학교
245,김포대학교
246,김해대학교
247,나주대학교
248,농협대학교
249,대경대학교
250,대구공업대학교
251,국립공주대학교 경영행정대학원
252,국립공주대학교 교육대학원
253,국립공주대학교 국가사회안전대학원
254,국립공주대학교 대학원
255,국립공주대학교 문화유산대학원
256,국립공주대학교 산업과학대학원
257,국립공주대학교 안보과학대학원
258,국립공주대학교 정책융합전문대학원
259,국립공주대학교 테크노융합대학원
260,국립공주대학교 테크노전략대학원
261,국립공주대학교 특수교육대학원
262,국립군산대학교 경영행정대학원
263,국립군산대학교 교육대학원
264,국립군산대학교 대학원
265,국립군산대학교 산업대학원
266,국립금오공과대학교 교육대학원
267,국립금오공과대학교 대학원
268,국립금오공과대학교 산업대학원
269,국립금오공과대학교 컨설팅대학원
270,국립목포대학교 경영행정대학원
271,국립목포대학교 교육대학원
272,국립목포대학교 대학원
273,국립목포대학교 산업기술대학원
274,국립목포대학교 산업대학원
275,광운대학교 경영대학원
276,광운대학교 교육대학원
277,광운대학교 대학원
278,광운대학교 상담복지정책대학원
279,광운대학교 스마트융합대학원
280,광운대학교 정보콘텐츠대학원
281,광운대학교 환경대학원
282,광주가톨릭대학교 대학원
283,광주과학기술원 일반대학원
284,광주교육대학교 교육대학원
285,광주대학교 보건상담정책대학원
286,광주대학교 사회복지전문대학원
287,광주대학교 일반대학원
288,광주여자대학교 교육대학원
289,광주여자대학교 사회개발대학원
290,광주여자대학교 일반대학원
291,국립강릉원주대학교 경영정책과학대학원
292,국립강릉원주대학교 경영정책과학대학원
293,국립강릉원주대학교 교육대학원
294,국립강릉원주대학교 교육대학원
295,국립강릉원주대학교 대학원
296,국립강릉원주대학교 대학원
297,국립강릉원주대학교 산업대학원
298,국립강릉원주대학교 산업대학원
299,국립공주대학교 경영대학원
300,고려대학교(세종) 의용과학대학원
301,고려대학교(세종) 인문정보대학원
302,고려대학교(세종) 일반대학원
303,고려대학교(세종) 창업경영대학원
304,고려대학교(세종) 행정대학원
305,고려대학교(세종) 행정전문대학원
306,고려사이버대학교 융합정보대학원
307,고신대학교 교육대학원
308,고신대학교 교회음악대학원
309,고신대학교 국제융합대학원
310,고신대학교 기독교상담대학원
311,고신대학교 대학원
312,고신대학교 보건대학원
313,고신대학교 선교목회대학원
314,고신대학교 신학대학원
315,공주교육대학교 교육대학원
316,광신대학교 교육대학원
317,광신대학교 국제대학원
318,광신대학교 대학원
319,광신대학교 사회복지대학원
320,광신대학교 상담치료대학원
321,광신대학교 신학대학원
322,광신대학교 음악대학원
323,광운대학교 건설법무대학원
324,고려대학교 교육대학원
325,고려대학교 국제대학원
326,고려대학교 그린스쿨(에너지환경정책기술
327,고려대학교 기술경영전문대학원
328,고려대학교 노동대학원
329,고려대학교 대학원
330,고려대학교 미디어대학원
331,고려대학교 법무대학원
332,고려대학교 법학전문대학원
333,고려대학교 보건대학원
334,고려대학교 생명환경과학대학원
335,고려대학교 심리융합과학대학원
336,고려대학교 언론대학원
337,고려대학교 에너지환경대학원(그린스쿨)
338,고려대학교 융합데이터과학대학원
339,고려대학교 의학전문대학원
340,고려대학교 임상치의학대학원
