school_id,school_name
2238,서울예술고등학교
2239,서일고등학교
2240,서일국제경영고등학교
2241,서전고등학교
2242,서천고등학교
2243,서천여자고등학교
2244,서천여자정보고등학교
2245,서해삼육고등학교
2246,석적고등학교
2247,석정여자고등학교
2248,선산고등학교
2249,설천고등학교
2250,설화고등학교
2251,성산고등학교
2252,성요셉상호문화고등학교
2253,성전고등학교
2254,성주고등학교
2255,성주여자고등학교
2256,성환고등학교
2257,세인고등학교
2258,세종고등학교
2259,세종여자고등학교
2260,세종예술고등학교
2261,세종하이텍고등학교
2262,세화고등학교
2263,소림학교
2264,소천고등학교
2265,송악고등학교
2266,송지고등학교
2267,수도사랑의학교
2268,수비고등학교
2269,수성고등학교
2270,수성고등학교부설방송통신고등학교
2271,수성고등학교부설방송통신고등학교
2272,수원농생명과학고등학교
2273,수원서광학교
2274,수일고등학교
2275,순심고등학교
2276,순심여자고등학교
2277,순창고등학교
2278,순창제일고등학교
2279,순천복성고등학교
2280,순천전자고등학교
2281,시온식품과학고등학교
2282,신남고등학교
2283,신등고등학교
2284,신라공업고등학교
2285,신반정보고등학교
2286,신안해양과학고등학교
2287,신정고등학교
2288,신철원고등학교
2289,신태인고등학교
2290,신평고등학교
2291,아림고등학교
2292,아산성심학교
2293,아산전자기계고등학교
2294,안강여자고등학교
2295,안강전자고등학교
2296,안계고등학교
2297,안동영명학교
2298,안면고등학교
2299,안성고등학교
2300,안의고등학교
2301,안좌고등학교
2302,안천고등학교
2303,안흥고등학교
2304,애월고등학교
2305,야로고등학교
2306,약목고등학교
2307,약산고등학교
2308,양구고등학교
2309,양구여자고등학교
2310,양산희망학교
2311,양양고등학교
2312,양업고등학교
2313,양청고등학교
2314,언양고등학교
2315,여남고등학교
2316,여량고등학교
2317,여산고등학교
2318,여수여명학교
2319,여수해양과학고등학교
2320,여수화양고등학교
2321,여양고등학교
2322,연무고등학교
2323,연무대기계공업고등학교
2324,연초고등학교
2325,연평고등학교
2326,영광고등학교
2327,영광공업고등학교
2328,영광전자고등학교
2329,영남삼육고등학교
2330,영덕고등학교
2331,영덕여자고등학교
2332,영동고등학교
2333,영동산업과학고등학교
2334,영동인터넷고등학교
2335,영산고등학교
2336,영산성지고등학교
2337,영생고등학교
2338,영선고등학교
2339,영암고등학교
2340,영암낭주고등학교
2341,영암여자고등학교
2342,영암전자과학고등학교
2343,영양고등학교
2344,영양여자고등학교
2345,영월고등학교
2346,영월공업고등학교
2347,영일고등학교
2348,영천전자고등학교
2349,영해고등학교
2350,예당고등학교
2351,예산고등학교
2352,예산여자고등학교
2353,예산예화여자고등학교
2354,예산전자공업고등학교
2355,예천여자고등학교
2356,오상고등학교
2357,오송고등학교
2358,오수고등학교
2359,오창고등학교
2360,오천고등학교
2361,옥과고등학교
2362,옥종고등학교
2363,옥천고등학교
2364,온산고등학교
2365,완도고등학교
2366,완도금일고등학교
2367,완도수산고등학교
2368,완주고등학교
2369,왕신여자고등학교
2370,용남고등학교
2371,용남고등학교
2372,용운고등학교
2373,울릉고등학교
2374,울산경의고등학교
2375,울산과학고등학교
2376,울산기술공업고등학교
2377,울산두남중고등학교
2378,울산미용예술고등학교
2379,울산산업고등학교
2380,울산상업고등학교
2381,울산예술고등학교
2382,울산행복학교
2383,울진고등학교
2384,웅천고등학교
2385,원경고등학교
2386,원덕고등학교
2387,원주금융회계고등학교
2388,원주의료고등학교
2389,원통고등학교
2390,위도고등학교
2391,육민관고등학교
2392,율곡고등학교
2393,은광학교
2394,음성고등학교
2395,의령고등학교
2396,의령여자고등학교
2397,의성고등학교
2398,의성공업고등학교
2399,의성여자고등학교
2400,이서고등학교
2401,익산고등학교
2402,인상고등학교
2403,인월고등학교
2404,인제고등학교
2405,인천영흥고등학교
2406,임계고등학교
2407,임실고등학교
2408,임자고등학교
2409,장계공업고등학교
2410,장성고등학교
2411,장성하이텍고등학교
2412,장수고등학교
2413,장안고등학교
2414,장안제일고등학교
2415,장항고등학교
2416,장흥고등학교
2417,장흥관산고등학교
2418,전남과학고등학교
2419,전남기술과학고등학교
2420,전남보건고등학교
2421,전남생명과학고등학교
2422,전남예술고등학교
2423,전남자연과학고등학교
2424,전남조리과학고등학교
2425,전남체육고등학교
2426,전북과학고등학교
2427,전북체육고등학교
2428,전인고등학교
2429,전주예술고등학교
2430,정관고등학교
2431,정남진산업고등학교
2432,정산고등학교
2433,정선고등학교
2434,정선정보공업고등학교
2435,제주영송학교
2436,제주외국어고등학교
2437,제천디지털전자고등학교
2438,조도고등학교
2439,조원고등학교
2440,종로산업정보학교
2441,주덕고등학교
2442,주문진고등학교
2443,주산산업고등학교
2444,주천고등학교
2445,죽변고등학교
2446,줄포자동차공업고등학교
2447,중모고등학교
2448,중앙고등학교
2449,증평공업고등학교
2450,증평정보고등학교
2451,지리산고등학교
2452,지명고등학교
2453,지평선고등학교
2454,진교고등학교
2455,진도고등학교
2456,진도국악고등학교
2457,진도실업고등학교
